Actual,Predicted
6052.5,6038.443436949242
6636.7,6688.181833214017
6074.3,6061.856708724467
5043.1,5086.95809658386
5438.7,5462.1622985035365
4991.0,4992.45925888844
6629.1,6608.190730495918
6396.9,6418.191374304222
5067.8,4928.282861575338
5977.2,5936.763870267152
5499.5,5524.668958840593
6531.9,6512.486789027532
5772.0,5782.3456816508515
5572.1,5615.319118887674
5675.8,5695.753325800961
7015.5,7002.976925068999
6726.8,6745.962022270633
6879.6,6833.845311922263
5104.1,5075.775717088724
7069.0,7080.174359853738
5387.8,5426.6265222968495
6153.3,6175.163771194223
5234.0,5275.929480050771
6325.6,6280.4468687362705
5752.3,5722.01346345588
5803.0,5880.659260445885
6773.4,6761.824818212244
6266.9,6285.8374569611715
6699.6,6740.79596594115
5101.8,5152.008106456482
6209.3,6264.545284581658
5766.0,5745.544309417537
6101.0,6081.024354413634
6955.2,6962.716002716785
7107.1,7079.33626995093
5889.9,5887.033742507102
6899.4,6872.819596043023
6997.4,6968.138839941923
5863.7,5876.46188379854
6794.1,6754.4522641944
4944.9,4949.2914327257095
7033.4,7004.257367426799
5075.1,5075.310290041845
6057.3,6054.884109366677
4621.7,4519.353144149183
6775.0,6695.981782092627
5388.4,5461.174637960548
6102.0,6055.037429604161
5366.5,5351.58633172792
5721.0,5716.622843805746
5846.0,5821.39338854636
5338.1,5360.425343703655
5924.0,5906.426675657508
5590.7,5627.196215955755
6939.4,6775.251880898066
5936.4,5894.607113512478
4969.9,4948.6944339661795
4655.9,4638.564884001539
5167.7,5163.988336593028
5786.0,5827.310153733622
6571.5,6479.424910437184
6354.6,6399.632504525399
6320.3,6257.37276340308
5512.3,5521.691607707038
6527.9,6538.370769438141
5541.8,5538.434770603249
4620.7,4665.074442481577
5194.5,5166.551673080734
6394.6,6396.90217101859
6382.8,6392.012991797543
5240.4,5218.33347965311
5647.9,5689.39565150344
6146.0,6141.587093840366
5871.2,5806.6619881279175
5357.7,5406.044052465121
5395.9,5435.312128742289
5085.8,5108.35675706135
6880.9,6907.849478523668
5570.8,5595.741641027719
6218.8,6167.476304281234
5864.7,5925.199942745683
5365.8,5421.048807936206
5239.0,5292.673977143222
5717.1,5715.552716731835
5974.6,5926.078847894443
5059.8,5065.36881927435
5396.6,5467.254834250497
5525.0,5506.194132810884
5445.2,5442.9996939308185
5820.0,5823.0813702359455
5768.1,5777.680711891719
6360.7,6311.491349344812
6047.1,6073.090803039594
6041.9,6083.809390717006
6757.2,6747.314878291959
5505.9,5520.273095021315
5632.2,5614.878211662966
6580.7,6530.027794766812
6528.9,6433.021628024533
5528.9,5532.176979546744
5525.0,5481.605744954382
5213.0,5221.229529835434
6835.7,6922.276360250682
6053.5,6056.756458776707
5212.2,5170.353604125656
6542.8,6560.17423965337
4935.5,4944.408480027595
6019.5,6002.9935515029
4834.8,4765.952465195472
5609.4,5694.522392277386
5765.4,5764.891795905993
5909.3,5858.131851126255
5227.2,5166.236213928692
5699.6,5758.595059747986
4767.5,4717.877947097653
6477.1,6477.7226856840525
6679.0,6652.974599454928
4963.8,4940.59719691525
6883.3,6884.416912720485
5964.6,5932.99768732618
5605.8,5589.100215003581
6046.8,6146.691509657937
6249.6,6279.177632187432
5988.8,5988.702300322145
6130.3,6119.3962836938645
6148.9,6225.611952360365
5247.4,5262.383618372757
5225.6,5222.780429730452
5615.6,5613.928775859266
5209.8,5167.131894237858
5819.9,5779.61978480418
5700.3,5761.80551149378
5113.0,5106.101095440858
5817.6,5789.2762992491425
5204.9,5152.317405162781
6091.6,6062.307339073185
5934.8,5925.001616096153
6443.8,6484.274170660483
6019.1,6138.868909424217
5628.6,5605.793549139929
5210.8,5221.9266521516565
5159.3,5139.966220189527
5915.7,5860.840994533607
5840.9,5791.780934527977
6208.0,6219.17950286947
4992.6,5011.614072647225
6824.4,6866.013999414771
5236.0,5249.624484985165
6780.3,6652.623999145968
5115.7,5141.988477393528
6694.4,6698.268640758268
4637.9,4630.316828752106
5798.2,5780.352084862782
5848.9,5861.9373916332925
6666.5,6685.2526238685205
5435.3,5439.255904356976
5620.2,5677.5099756796935
5585.9,5640.804212675018
5387.0,5342.032116963508
6860.9,6915.166092946352
5409.5,5450.258413978107
6301.2,6283.81465980751
6667.9,6671.360366600583
6702.2,6678.522845098149
5687.6,5638.433112641847
5863.2,5864.887948875911
4757.0,4781.097762273889
5618.0,5678.343441055173
6047.2,6011.64910270473
6302.0,6286.472855247225
6547.9,6468.830801729773
5846.5,5833.765552772947
6303.5,6315.474807684524
6438.7,6419.121141024522
5496.9,5495.23747430225
6500.4,6490.542450165415
5700.2,5698.803167744983
5189.9,5168.207425863544
4559.0,4602.543636802984
6692.1,6727.989678784129
6204.5,6219.17950286947
5164.4,5168.090698421043
5865.0,5880.216297488745
6490.6,6456.520365311534
6273.3,6272.927127393259
6757.4,6756.407488902948
4887.4,4917.624321471055
5151.2,5141.848796392026
5719.7,5702.575655452371
5342.7,5432.197045016306
6597.5,6680.835169198464
5249.9,5266.455140698388
5942.9,5950.300784783495
5379.9,5393.971081118079
5281.0,5300.84921835598
5772.9,5764.936348360865
6042.1,5994.224214938152
5503.1,5505.769389363668
5637.7,5534.94518381673
5643.8,5623.709698838215
5930.3,5892.929403517509
5654.6,5646.801209424515
5983.6,5967.0289435488185
6049.6,6026.790416160118
5497.4,5561.11255525487
6761.0,6821.081731690971
4801.2,4841.627813746082
5880.4,5836.280266383273
5650.0,5694.9782494050705
6499.3,6502.465378207357
6646.5,6608.627959662216
5566.6,5636.637853548338
6541.2,6570.885043076135
6430.9,6315.079034962072
6013.4,6035.863014343392
7085.0,7083.746180323809
4750.4,4790.063520364605
5881.2,5855.78376087737
6824.4,6817.355600353658
6243.3,6284.441359864665
5794.6,5841.77110108141
6904.3,6892.409970739799
5047.4,5076.042872066048
4980.4,4986.7741685902765
6198.8,6191.511096364181
6604.1,6616.138964899168
5532.7,5513.249654541093
5697.7,5702.4344230312645
5597.1,5605.668267100889
6749.1,6727.021196178025
5438.8,5422.341445348385
5611.7,5651.780126661457
4521.3,4415.213557015984
6559.4,6562.337627733205
5077.3,5042.233928181269
6435.8,6382.372248179187
6708.3,6701.943707948501
6226.0,6232.938929161411
5214.5,5162.327734583523
6041.1,6098.2735622845075
6267.4,6268.524348742668
5535.5,5574.339236393685
6386.7,6340.307696791797
6704.1,6716.614997339042
5999.4,6003.967585242768
6269.9,6275.88985888491
4661.9,4501.431762401763
6324.6,6447.261951042738
6856.8,6849.837038691725
6265.3,6279.525418268886
6652.3,6639.973850727502
5216.8,5209.319463846209
6408.3,6426.696694210236
6686.7,6716.037305475813
5902.5,5922.006629159178
6394.1,6351.389878671631
6434.1,6433.219400773653
6868.1,6841.467887143521
6541.1,6493.124992480957
5769.2,5754.132401171798
6741.7,6717.7798666520475
6666.1,6695.3098404813845
5943.2,6001.552544946519
7082.1,7136.528307247602
5622.3,5606.653713460273
5254.5,5226.782566233167
6324.6,6386.853021598275
6591.4,6641.522697468341
6330.0,6419.491559436514
5972.0,5989.2602868099675
5926.9,5996.042259776751
5570.6,5475.497697138863
4905.0,4896.1078758629565
5033.5,5004.629511864934
6306.9,6291.492008273265
6426.9,6429.5692951953715
5178.9,5152.867472965462
6357.3,6371.51714696885
5756.3,5745.717694142352
5896.0,5877.5756869259085
6056.1,5992.614349003692
6272.9,6207.640907524542
5353.7,5376.437485614604
6395.7,6386.130378759225
5573.0,5560.124450789921
6565.9,6603.498021834294
5603.5,5618.218330814808
5888.1,5904.249180438146
4813.7,4835.23445080855
5555.8,5557.584729005594
5009.9,5013.231495646358
6212.8,6255.251200521635
6109.7,6102.830851786047
6757.8,6764.734315668627
5942.3,5905.557362853802
6347.8,6393.4859459272375
6320.8,6288.675631152233
6124.5,6122.468992098393
5783.4,5820.245839398558
5730.6,5746.394239579729
5560.5,5596.316070948528
5289.4,5306.26330226336
5138.6,5074.671963806958
5581.0,5592.676629454523
7085.0,7114.980152764809
6057.3,6082.679194087232
6541.9,6542.29765987991
6609.3,6650.872157259113
6481.0,6493.541790924367
5517.7,5512.030914605564
6349.5,6361.827583859626
5132.8,5167.131894237858
5040.2,5038.717520470773
5615.4,5614.79428052196
5375.3,5307.8007693855425
5768.4,5732.5371185953645
4836.7,4815.4266429576255
5561.8,5529.866158046574
5512.3,5500.086746506872
6123.8,6185.193013812497
5399.5,5413.455765952691
5733.1,5747.979712516059
6105.2,6076.10559321778
5296.8,5316.091047939205
6010.3,5995.324867816737
5561.9,5544.695674731959
5605.5,5616.777324258426
4989.3,4941.231710355537
5968.0,5938.803240253168
5515.5,5522.606812772669
6469.4,6504.945398448507
5773.5,5753.365511249218
5380.4,5368.903316922536
5655.1,5624.19316614104
5628.3,5604.864505744113
5490.5,5507.4396508900945
6109.7,6126.063541605081
5248.1,5279.514892213675
5530.2,5522.159287703364
6105.0,6155.681132337103
5776.0,5799.078381087761
5744.4,5776.846076420369
5970.2,6036.741438460582
6089.3,6173.228496901858
5014.4,5061.7341283919695
5987.9,5992.293351370212
5415.8,5433.467132289835
6000.8,6042.95920692555
5158.3,5162.134539118514
6249.4,6299.702883612358
6442.2,6436.898519098881
7083.2,7058.29355134246
5644.1,5678.022211180298
5996.6,6040.050749479779
5187.0,5265.016355638197
5007.8,5047.999421232397
5973.0,6026.149467215699
6987.2,6958.590480491037
6627.8,6601.143440488094
4757.3,4771.1362313021655
5078.9,5114.414826860901
5985.8,6006.636150343781
5785.7,5773.575997394259
4805.1,4789.197610610476
5938.1,5951.846153319271
5477.8,5486.63687939572
6476.1,6474.919701887978
5701.5,5747.494957358989
5231.6,5221.909870625521
5770.6,5765.665416208143
5304.6,5376.673777259043
6393.2,6360.11747222433
5247.5,5190.07762426165
6658.8,6650.534655161346
5294.3,5303.445642501853
6554.4,6539.935558914212
5896.3,5833.710907421981
6258.3,6252.697350519241
6565.0,6589.1846686985255
5578.7,5529.866158046574
5889.2,5893.354466905262
6381.6,6298.511191958272
5761.2,5746.836936018394
6206.6,6237.126959226402
7196.8,7171.560283896197
5810.6,5827.471321003933
6254.5,6248.97497242011
6026.9,6005.078200884081
6930.7,6885.961726659783
6577.4,6626.573540605331
5507.2,5589.409423682661
6403.3,6391.951381804817
6490.1,6475.416464021753
6190.8,6148.277657631379
5500.8,5476.133325737464
5794.8,5780.110672459856
6027.4,6003.790131290162
6217.2,6254.827696576744
6156.5,6107.696941441346
5570.4,5573.592366684945
5116.5,5114.832788672796
5442.8,5435.150827526559
4829.7,4787.160788637775
5388.1,5442.9996939308185
6771.3,6774.088264394387
6511.2,6462.912249733148
5178.1,5183.166609296915
5647.8,5622.5924377812225
5807.7,5786.103620949343
5823.2,5783.6139551929855
5668.3,5668.666944022743
6723.0,6739.32792030939
6352.8,6374.082873505539
4816.5,4829.8543522780365
5691.5,5692.407829145387
5564.0,5474.328722531668
6754.5,6749.94966184625
5663.3,5652.320713247624
5630.8,5682.254402077482
6876.8,6829.206113033715
5829.4,5801.907137785381
5613.8,5580.778915120372
6932.3,6865.117593636922
5402.7,5378.799785034076
6473.6,6416.649208051355
7196.5,7113.774638126266
6604.0,6661.591775495846
6294.0,6314.434849731954
6512.5,6509.2548700421285
6234.8,6171.446182061055
6618.2,6529.414172026365
4969.8,4954.27753510169
6657.8,6694.376188240384
6216.3,6251.574563269032
4769.9,4775.115842210644
5262.1,5265.569746562531
5184.5,5161.524249395482
6020.3,5991.154255933695
5441.7,5394.425756964586
6558.1,6419.032251953746
5084.1,5085.775961948931
6707.7,6723.289356454532
6500.2,6516.869446593377
6768.8,6807.4010026655815
6910.5,6890.386151328547
7103.7,7087.02519836148
6223.6,6275.446359223794
6239.6,6217.012776669476
6088.1,6165.624012627373
5881.6,5914.844547024503
6460.6,6440.266248081108
5252.0,5249.759360876504
6570.3,6522.213379335614
5198.3,5169.05849317023
5971.5,5957.568812995627
6273.1,6255.5579816935115
5030.8,5016.249399967763
6701.3,6721.286903332289
5647.6,5659.667570003741
5258.5,5275.52991373149
5308.1,5307.9207477496575
6913.3,6901.004905137127
6840.4,6881.187735637671
5610.6,5599.9460202999235
6544.8,6451.445561511358
5432.1,5409.662671946098
6638.3,6642.852088969554
4964.9,4985.8854532418245
6311.9,6281.591554620523
5449.8,5492.257862647186
5897.9,5933.499529335195
4278.5,4396.754201917023
5331.3,5329.3359837523285
6624.6,6620.590670698213
6563.5,6596.12649185884
5684.7,5675.490251741386
5600.0,5601.156205900266
5702.6,5635.333294486323
5796.1,5736.473149675232
5553.5,5664.677596328884
5100.3,5089.497780193971
5682.6,5622.076634006956
5592.3,5625.603500671707
6263.0,6270.922619873978
6494.1,6474.423265666779
5363.4,5348.2185664431945
6228.0,6284.71988206638
5948.2,5918.764905982274
5004.2,5007.049452664333
5461.9,5482.278418976243
6987.0,6926.630091080926
5815.1,5785.110499470607
5547.4,5596.346598500457
6316.7,6336.48526604527
6054.2,6039.452658302978
6412.4,6389.419095486642
6047.1,5991.133482941252
6848.8,6851.462630639266
6863.9,6899.771992185337
5503.6,5513.791578135993
5647.0,5671.244763042076
6186.4,6173.158460317378
6309.7,6189.7671753729055
7323.8,7198.979760867409
6707.5,6701.191437220197
6032.9,6021.960207704015
6280.4,6247.08009009879
5029.7,5007.7404946285005
5046.2,5045.548993312322
5870.4,5879.561926528366
6732.4,6680.074769188276
5668.5,5658.365323995791
6570.8,6556.3093535953485
6728.3,6673.095139460754
5504.5,5574.357477889047
5881.0,5873.421731961457
6246.1,6210.477349367409
5526.5,5517.883094481172
5450.8,5379.124139778249
5183.7,5155.013651227573
5982.2,6059.330781708518
6440.0,6463.615311660044
5698.6,5736.829842991913
5940.2,5929.748390888454
6006.4,6007.594954526966
6220.4,6204.8007873764445
6492.9,6480.367963912291
6772.3,6766.204264328977
6515.9,6495.091252585443
7070.1,7080.174359853738
6368.3,6374.678591551094
4954.2,4932.977751175622
5159.0,5134.9178197657275
6468.2,6449.840057748959
5435.0,5377.192611368423
5401.6,5401.806937322289
5136.7,5144.108638641006
5929.7,5943.365317351458
6666.4,6716.651306774205
6872.5,6850.608586573541
5349.9,5302.663786443506
5877.4,5848.255835845905
4834.8,4765.952465195472
6086.0,6061.388039795534
6138.5,6048.982747887144
6102.5,6083.824509554436
5581.2,5574.55117086813
6383.9,6397.389891495527
5709.7,5729.379911211443
6843.8,6818.643935741164
7137.3,7090.696243736975
5489.3,5480.649062925259
5617.6,5601.843991347339
6746.9,6764.238001806165
6147.4,6154.088567189483
4918.2,4948.575087084631
6834.8,6713.00241068594
6979.8,7007.236846710539
6498.7,6561.2974443580615
6040.5,6032.148212680129
5665.9,5694.165682824514
6296.4,6289.68263845237
6543.9,6542.020818058709
4731.0,4705.887129424648
5704.4,5682.679813641109
