,MAE,RMSE,R²
XGBoost Scenario 3_COVID-XGBoost,40.95616382044605,52.206095796255696,0.9928402732619833
XGBoost Scenario 3_CNY-XGBoost,42.1246986743582,53.113892782984074,0.9938140635547157
XGBoost Scenario 3_Typical_Day-XGBoost,34.40573798555777,45.56234686366924,0.9952431078069286
XGBoost Scenario 3_Combined-XGBoost,40.6456417627755,52.46251135429736,0.993298926812925
