Scenario,Label,MAE,RMSE,R²
Scenario 1,XGBoost Scenario 1_Combined-XGBoost,44.70122277104041,57.88001265124736,0.9918435074561897
Scenario 2,XGBoost Scenario 2_Combined-XGBoost,44.70122277104041,57.88001265124736,0.9918435074561897
Scenario 3,XGBoost Scenario 3_Combined-XGBoost,40.6456417627755,52.46251135429736,0.993298926812925
