,MAE,RMSE,R²
XGBoost Scenario 2_COVID-XGBoost,46.36859210848469,59.47658115394684,0.9907072124627067
XGBoost Scenario 2_CNY-XGBoost,45.90645008786676,59.1801191129414,0.9923203600625298
XGBoost Scenario 2_Typical_Day-XGBoost,36.995933259150895,48.47785924631353,0.9946148475326291
