,MAE,RMSE,R²,Model_Type
Scenario 3_COVID-Xgboost,40.95616382044605,52.206095796255696,0.9928402732619833,xgboost
Scenario 3_CNY-Xgboost,42.1246986743582,53.113892782984074,0.9938140635547157,xgboost
Scenario 3_Typical_Day-Xgboost,34.40573798555777,45.56234686366924,0.9952431078069286,xgboost
Scenario 3_Saturday-Xgboost,37.84637647026363,49.86795641386903,0.9910533321329821,xgboost
Scenario 3_Sunday-Xgboost,36.824109071487136,49.77836750255162,0.9905141108250136,xgboost
Scenario 3_Combined-Xgboost,40.543797009572856,52.130118108107965,0.9925513798588895,xgboost
