,MAE,RMSE,R²,Model_Type
Scenario 3_COVID-Random_Forest,38.1238093962137,49.10519267125367,0.993665550852714,random_forest
Scenario 3_CNY-Random_Forest,37.90093391714245,49.34650430170995,0.994660482993625,random_forest
Scenario 3_Typical_Day-Random_Forest,32.598257462167474,43.480083765646945,0.995667965753966,random_forest
Scenario 3_Saturday-Random_Forest,37.03861960950333,48.85049598463397,0.9914146871083364,random_forest
Scenario 3_Sunday-Random_Forest,36.44037447709996,49.162709577095484,0.9907473023998801,random_forest
Scenario 3_Combined-Random_Forest,39.43632804697101,51.60107693772237,0.9927017969760866,random_forest
