,MAE,RMSE,R²,Model_Type
Scenario 3_COVID-Lightgbm,22.836214738848188,29.875820560441095,0.9976552653583716,lightgbm
Scenario 3_CNY-Lightgbm,26.744323574490426,35.46752953098909,0.9972416392360437,lightgbm
Scenario 3_Typical_Day-Lightgbm,22.629463320239715,32.79457163474816,0.9975355780858399,lightgbm
Scenario 3_Saturday-Lightgbm,23.231904249218008,32.89418212187451,0.9961072513942881,lightgbm
Scenario 3_Sunday-Lightgbm,24.05637191166793,35.43022019949045,0.9951944350646987,lightgbm
Scenario 3_Combined-Lightgbm,22.358406224761797,30.618426796110167,0.9974304081022988,lightgbm
