,MAE,RMSE,R²,Model_Type
Scenario 3_COVID-Catboost,34.7559233233655,44.006585249470014,0.9949126764934992,catboost
Scenario 3_CNY-Catboost,36.197227893809796,46.31120767075435,0.9952971470284676,catboost
Scenario 3_Typical_Day-Catboost,30.913998641695567,40.95123065054627,0.9961572241554679,catboost
Scenario 3_Saturday-Catboost,30.46309390975425,41.4620243705066,0.9938152923170113,catboost
Scenario 3_Sunday-Catboost,31.105158015713023,43.04555740633991,0.9929066168494246,catboost
Scenario 3_Combined-Catboost,31.355853499200023,41.482709463853666,0.995283360987081,catboost
