,MAE,RMSE,R²,Model_Type
Scenario 1_COVID-Xgboost,46.36859210848469,59.47658115394684,0.9907072124627067,xgboost
Scenario 1_CNY-Xgboost,45.90645008786676,59.1801191129414,0.9923203600625298,xgboost
Scenario 1_Typical_Day-Xgboost,36.995933259150895,48.47785924631353,0.9946148475326291,xgboost
Scenario 1_Saturday-Xgboost,44.84271450870334,59.547077770010695,0.9872432783343924,xgboost
Scenario 1_Sunday-Xgboost,42.24114166167382,58.212866730079625,0.9870271701818945,xgboost
Scenario 1_Combined-Xgboost,44.280363046656774,58.20747015218363,0.9907134188630367,xgboost
