,MAE,RMSE,R²
Scenario 1_COVID-Random_Forest,44.56917950194478,57.276596646702714,0.991381961615153
Scenario 1_CNY-Random_Forest,43.50187375913298,56.21008716206819,0.9930718432342184
Scenario 1_Typical_Day-Random_Forest,36.90393640707546,47.827812131391674,0.9947582999381788
