,MAE,RMSE,R²,Model_Type
Scenario 1_COVID-Catboost,42.83922292878639,54.80328782390629,0.9921101773128703,catboost
Scenario 1_CNY-Catboost,43.261451519990686,56.638550990382114,0.9929658203352526,catboost
Scenario 1_Typical_Day-Catboost,34.161842097013185,45.00083255961652,0.9953596340171083,catboost
Scenario 1_Saturday-Catboost,42.54803522942104,57.7299560424796,0.9880099601579057,catboost
Scenario 1_Sunday-Catboost,39.23296480656602,54.589010887725074,0.9885920608068245,catboost
Scenario 1_Combined-Catboost,41.03811215681124,54.61106978524425,0.9918255267416852,catboost
