,MAE,RMSE,R²
Scenario 1_COVID-Xgboost,46.36859210848469,59.47658115394684,0.9907072124627067
Scenario 1_CNY-Xgboost,45.90645008786676,59.1801191129414,0.9923203600625298
Scenario 1_Typical_Day-Xgboost,36.995933259150895,48.47785924631353,0.9946148475326291
