,MAE,RMSE,R²,Model_Type
Scenario 1_COVID-Lightgbm,40.74205249795423,53.17262518051723,0.9925727127611752,lightgbm
Scenario 1_CNY-Lightgbm,41.53966205094478,54.58845020325016,0.9934658256599409,lightgbm
Scenario 1_Typical_Day-Lightgbm,33.055797461062454,44.5963093480494,0.9954426857578687,lightgbm
Scenario 1_Saturday-Lightgbm,42.04535858634004,57.13738542590969,0.9882548410252999,lightgbm
Scenario 1_Sunday-Lightgbm,40.00148413800717,56.14869586576103,0.9879308664140365,lightgbm
Scenario 1_Combined-Lightgbm,39.79456184072738,53.1465008876044,0.9922580963548594,lightgbm
