,0
NEM Demand (Actual)_lag1,586
NEM Demand (Forecast),373
Hour,221
NEM Demand (Forecast)_lag3,155
NEM Demand (Forecast)_lag2,122
NEM Demand (Forecast)_lag1,111
DayOfWeek,88
NEM Demand (Actual)_lag3,66
NEM Demand (Actual)_lag2,52
TreatAs_DayType_Code,0
