Actual,Predicted
6052.5,6029.109441660772
6636.7,6669.630448117453
6074.3,6072.202655515504
5043.1,5070.597116809439
5438.7,5438.021586540994
4991.0,4972.304726761959
6629.1,6601.68684852561
6396.9,6449.45288263963
5067.8,4972.304726761959
5977.2,5954.691230016687
5499.5,5554.374926553521
6531.9,6522.964965139457
5772.0,5766.64428390948
5572.1,5619.13942341933
5675.8,5728.842455593679
7015.5,6980.173601732509
6726.8,6750.419064219377
6879.6,6847.629502761747
5104.1,5047.221764568762
7069.0,7030.989606283177
5387.8,5433.6932425402665
6153.3,6159.604908025761
5234.0,5312.7988657331725
6325.6,6303.258651285604
5752.3,5689.523996311293
5803.0,5921.79283448695
6773.4,6754.47573102033
6266.9,6342.757291551268
6699.6,6757.326949040833
5101.8,5102.078292745944
6209.3,6301.747238954066
5766.0,5739.064304149174
6101.0,6071.978375153413
6955.2,6917.71426631171
7107.1,7026.961099699185
5889.9,5909.920358851045
6899.4,6850.326431393531
6997.4,7016.091620709272
5863.7,5907.418375089795
6794.1,6797.541902359549
4944.9,4972.304726761959
7033.4,7020.3923854550985
5075.1,5070.597116809439
6057.3,6072.202655515504
4621.7,4660.666714842584
6775.0,6675.59761047326
5388.4,5519.291809819898
6102.0,6029.109441660772
5366.5,5362.391562365892
5721.0,5685.535919456438
5846.0,5805.831698323604
5338.1,5333.594102244213
5924.0,5909.920358851045
5590.7,5552.212860826598
6939.4,6794.294204152605
5936.4,5902.061186112917
4969.9,5049.2827539292975
4655.9,4663.200281678065
5167.7,5217.1380057637425
5786.0,5855.55103146247
6571.5,6450.326934798043
6354.6,6361.960834914701
6320.3,6246.166664928134
5512.3,5548.670486114637
6527.9,6510.533252349282
5541.8,5548.670486114637
4620.7,4663.200281678065
5194.5,5148.373285723883
6394.6,6442.728116021462
6382.8,6361.960834914701
5240.4,5221.477457429358
5647.9,5690.899221822474
6146.0,6162.41463802755
5871.2,5752.137915753144
5357.7,5429.441006407997
5395.9,5404.889530702361
5085.8,5148.373285723883
6880.9,6907.0286937360015
5570.8,5617.433329176307
6218.8,6224.348361624635
5864.7,5954.020107237085
5365.8,5427.300239323446
5239.0,5324.316659710391
5717.1,5739.064304149174
5974.6,5890.971111094957
5059.8,5062.664639681223
5396.6,5479.556544069266
5525.0,5475.9167245374665
5445.2,5470.374471947285
5820.0,5796.524936617763
5768.1,5755.116847496061
6360.7,6303.258651285604
