,0
NEM Demand (Forecast),0.9873096256473638
NEM Demand (Actual)_lag1,0.012690374352636287
NEM Demand (Actual)_lag2,0.0
NEM Demand (Actual)_lag3,0.0
NEM Demand (Forecast)_lag1,0.0
NEM Demand (Forecast)_lag2,0.0
NEM Demand (Forecast)_lag3,0.0
Hour,0.0
DayOfWeek,0.0
TreatAs_DayType_Code,0.0
