iter	Passed	Remaining
0	0	82
1	1	76
2	2	73
3	2	70
4	3	70
5	4	68
6	5	68
7	5	67
8	6	66
9	7	65
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	51
28	21	51
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	30	41
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	70	0
