Label,MAE,RMSE,R²
Weekdays,41.91,55.81,0.99378
Saturday,42.24,57.12,0.98826
Sunday,38.7,54.15,0.98877
CNY,40.68,53.38,0.99375
COVID,43.56,56.01,0.99176
Overall,41.45,55.26,0.99346
