Actual,Predicted
5384.4,5363.698790911341
4646.1,4713.829166820265
4863.1,4842.77671183278
5373.9,5297.155954695296
6003.4,5952.882085685647
5257.7,5221.244285528265
6951.9,6899.027954007506
6671.1,6564.206092825948
5767.3,5725.146513352388
5216.4,5231.4632845483075
4961.1,4932.844922712223
5161.9,5207.777918558599
6813.1,6730.881566670317
6141.7,6143.240681519177
5019.4,5029.416134454334
6009.1,6008.431541565407
6729.3,6788.52733770611
6614.1,6595.644632781016
5365.1,5381.281898304244
5815.6,5745.802317250842
6934.1,6938.098949723354
5337.2,5309.801211774436
5961.3,6000.577773110124
6037.3,6008.087855597897
5792.3,5697.131040245167
5577.1,5583.961189019539
6205.0,6250.083745213083
4972.7,4968.987800319125
4879.0,4916.410855399406
5583.2,5511.641872182105
6411.2,6428.593283184618
5394.3,5402.114336617527
7008.2,6961.146621149639
6709.6,6570.540926500084
5471.0,5386.986501597579
6177.7,6194.428962157749
6036.4,6075.0558266900325
6148.4,6102.654896312426
5980.6,6008.877653032486
6508.5,6569.688426007478
6051.8,6017.4609839646955
5196.2,5194.182622009013
5065.5,5031.349690637153
5542.2,5484.894466999039
5868.4,5862.1317442273785
6249.2,6311.488646842046
6357.9,6399.2085840413
5429.3,5434.5374761802905
7236.7,7146.452614939724
5420.2,5458.318027676248
6180.0,6109.983486115891
5143.7,5169.382090501051
6142.7,6231.268939167952
5661.4,5797.077890983517
5662.7,5735.262954053902
6301.7,6263.765905327616
5693.8,5671.514490935148
5591.5,5558.057823896129
6827.1,6781.441831376745
4655.8,4664.10745874988
7261.0,7235.398880156994
5354.6,5341.113487259745
6935.8,7038.345508637011
5219.1,5186.582493666557
6909.5,6796.852736298327
5846.0,5768.91130204183
6609.4,6651.033996839981
5152.0,5136.1458421368625
6383.4,6402.856311080582
5493.5,5449.142884098857
6082.1,6102.27514141362
4955.0,4948.335454483565
6729.9,6763.39503346985
6886.2,6712.805478765901
6506.4,6520.354868448783
6220.7,6258.234609642733
6955.1,7036.104201325114
6466.4,6521.76642463909
6261.6,6259.104168372242
5104.1,5092.105633251872
6815.1,6750.206564867568
6702.4,6645.426920032717
5828.4,5933.354758004388
5276.4,5282.774084955024
5644.1,5597.883945901566
6060.0,6059.30178409485
6762.2,6737.890456944672
7201.2,7175.456993141927
7220.3,7064.9818955103865
6875.0,6927.16304237052
6505.6,6533.792257475557
5583.0,5576.5161957124155
4812.4,4789.293009235628
