,MAE,RMSE,R²,Model_Type
Scenario 2_COVID-Random_Forest,44.56917950194478,57.276596646702714,0.991381961615153,random_forest
Scenario 2_CNY-Random_Forest,43.50187375913298,56.21008716206819,0.9930718432342184,random_forest
Scenario 2_Typical_Day-Random_Forest,36.90393640707546,47.827812131391674,0.9947582999381788,random_forest
Scenario 2_Saturday-Random_Forest,43.597427303244345,58.77399700196003,0.9875723611072235,random_forest
Scenario 2_Sunday-Random_Forest,40.69190156465698,56.58017192984428,0.987744662587906,random_forest
Scenario 2_Combined-Random_Forest,43.00736049388577,56.35803564516812,0.9912941715697345,random_forest
