,0
NEM Demand (Actual)_lag1,817
NEM Demand (Forecast),329
Hour,282
NEM Demand (Forecast)_lag1,257
NEM Demand (Forecast)_lag3,162
NEM Demand (Forecast)_lag2,144
NEM Demand (Actual)_lag2,66
DayOfWeek,58
NEM Demand (Actual)_lag3,55
TreatAs_DayType_Code,0
