MAE,RMSE,R2,Scenario,Model
115.61768495339835,138.33353718550595,0.949862615331107,Weekday,Base
56.71645924195479,74.53196944117694,0.9854456804313989,Weekday,Optimized
34.03404097282805,49.955876010783335,0.9859621007875274,Saturday,Base
27.61524778500696,40.77784910754506,0.990646425904162,Saturday,Optimized
27.4485824421267,40.21700498381102,0.9909570709573599,Sunday,Base
26.996101148092645,37.53451832069966,0.9921231719123601,Sunday,Optimized
22.27514893561253,35.785052494581656,0.9858970767589564,CNY,Base
22.31080693942924,36.371406198194435,0.9854311252653442,CNY,Optimized
