Actual,Predicted
6052.5,6046.768874449952
6636.7,6638.848204272031
6074.3,6053.0961473034395
5043.1,5053.106593829501
5438.7,5439.842473765878
4991.0,5009.756090031765
6629.1,6606.489207050003
6396.9,6432.5132936077825
5067.8,4976.48136468
5977.2,5962.527109675078
5499.5,5533.848539151297
6531.9,6530.248264565741
5772.0,5780.823315682944
5572.1,5608.5547041566
5675.8,5701.126551522121
7015.5,6997.626547740923
6726.8,6742.953957545567
6879.6,6859.493887688852
5104.1,5056.341974492429
7069.0,7100.519383276234
5387.8,5397.948150710352
6153.3,6162.840374092306
5234.0,5233.709077860976
6325.6,6280.809192398979
5752.3,5731.435393806887
5803.0,5822.197013606737
6773.4,6756.13754151114
6266.9,6281.989498039557
6699.6,6751.148998201669
5101.8,5124.977069907075
6209.3,6238.550682956243
5766.0,5772.218915165718
6101.0,6082.026089933635
6955.2,6971.0816932390435
7107.1,7080.790709545573
5889.9,5919.75927995072
6899.4,6887.538489605312
6997.4,6980.125091780276
5863.7,5868.912470387181
6794.1,6776.500485686161
4944.9,4965.474515565834
7033.4,7030.995440783191
5075.1,5070.874635993395
6057.3,6051.992554185762
4621.7,4592.5119590260465
6775.0,6721.116212439898
5388.4,5410.680467188015
6102.0,6118.311202250098
5366.5,5370.988933891125
5721.0,5724.142227072894
5846.0,5802.675281227298
5338.1,5350.838915451262
5924.0,5934.31524606802
5590.7,5602.889380285976
6939.4,6771.721399795133
5936.4,5929.565084591621
4969.9,4997.543054680297
4655.9,4626.538358654105
5167.7,5186.840273890583
5786.0,5811.227062111375
6571.5,6530.941884312248
6354.6,6400.402572138991
6320.3,6311.0578495543505
5512.3,5521.024457047326
6527.9,6540.437984943959
5541.8,5551.8787949027
4620.7,4646.404760858438
5194.5,5150.568186393293
6394.6,6390.106162157169
6382.8,6375.427047471551
5240.4,5208.337007560096
5647.9,5680.877810010028
6146.0,6129.156917043601
5871.2,5824.707682670046
5357.7,5401.965501651192
5395.9,5410.825965253187
5085.8,5119.786677870612
6880.9,6901.272748462393
5570.8,5587.824529430267
6218.8,6201.3810216593565
5864.7,5899.500524128444
5365.8,5392.718099663368
5239.0,5270.884929523361
5717.1,5722.735230670619
5974.6,5916.18701943475
5059.8,5073.21414238519
5396.6,5425.367475986939
5525.0,5515.553553213925
5445.2,5443.854043696014
5820.0,5823.088411808796
5768.1,5791.0582588401185
6360.7,6329.456819512271
6047.1,6060.531195422508
6041.9,6071.489192871921
6757.2,6749.381494576677
5505.9,5531.572863313499
5632.2,5619.440681992913
6580.7,6573.02078482162
6528.9,6449.650798595508
5528.9,5541.4159132358545
5525.0,5490.260765421337
5213.0,5204.834334076848
6835.7,6879.304125365885
6053.5,6011.515266240899
5212.2,5194.389282266622
6542.8,6541.17987046325
4935.5,4913.053603497781
6019.5,6015.826723162977
4834.8,4766.600229137569
5609.4,5654.0862642270795
5765.4,5762.810115861578
5909.3,5860.0072632840165
5227.2,5203.479673902881
5699.6,5769.626466162185
4767.5,4745.673832015664
6477.1,6492.382254720331
6679.0,6668.432072355961
4963.8,4940.679349213731
6883.3,6878.383906211661
5964.6,5933.8370012119
5605.8,5578.159416225685
6046.8,6127.417466398842
6249.6,6281.317934868586
5988.8,5984.897615702445
6130.3,6126.532861116579
6148.9,6200.332569375567
5247.4,5246.475237942835
5225.6,5223.955105318666
5615.6,5624.276986242152
5209.8,5187.151726855602
5819.9,5804.418151493545
5700.3,5745.501526963598
5113.0,5112.659029474228
5817.6,5790.63163849513
5204.9,5187.119720017131
6091.6,6089.922350833945
5934.8,5924.142707102381
6443.8,6467.059084855465
6019.1,6099.083675588686
5628.6,5619.386071517537
5210.8,5208.317881581389
5159.3,5154.128264819762
5915.7,5907.59807614478
5840.9,5824.396288361996
6208.0,6197.297881297368
4992.6,5002.471835493647
6824.4,6820.902914321497
5236.0,5245.935770342504
6780.3,6697.36320338899
5115.7,5121.2911594648185
6694.4,6703.583707903695
4637.9,4627.983845640838
5798.2,5795.7097981975885
5848.9,5846.051184574098
6666.5,6680.348107117644
5435.3,5447.566037765675
5620.2,5645.445172259497
5585.9,5625.383441831457
5387.0,5374.707812442707
6860.9,6895.3191944941545
5409.5,5417.037728761115
6301.2,6293.093453745584
6667.9,6668.642250626591
6702.2,6688.637802741191
5687.6,5642.318332482414
5863.2,5896.532967733249
4757.0,4779.568114303316
5618.0,5657.12622711651
6047.2,6029.647388466467
6302.0,6293.970384405809
6547.9,6498.825144020307
5846.5,5833.222563658891
6303.5,6320.721170680978
6438.7,6439.597527137244
5496.9,5502.5807139576045
6500.4,6510.894739865475
5700.2,5685.797416763602
5189.9,5191.498903628571
4559.0,4606.333357901083
6692.1,6703.85855511889
6204.5,6208.293882404771
5164.4,5161.8655036588325
5865.0,5874.957028826884
6490.6,6472.4624243107355
6273.3,6268.658626814276
6757.4,6778.314630629297
4887.4,4894.030045242035
5151.2,5143.556728065423
5719.7,5688.605245713437
5342.7,5388.62015759937
6597.5,6621.64021885428
5249.9,5247.934235032549
5942.9,5957.752022027485
5379.9,5397.835162659889
5281.0,5265.681286837665
5772.9,5758.687193958381
6042.1,6015.123464332736
5503.1,5495.597756457675
5637.7,5550.945536463024
5643.8,5650.924539787877
5930.3,5896.084254477695
5654.6,5652.12316965152
5983.6,5971.97659230571
6049.6,6033.468767688898
5497.4,5526.833696405886
6761.0,6786.331632453231
4801.2,4837.772948863404
5880.4,5834.696653471232
5650.0,5675.782942914841
6499.3,6483.046005366888
6646.5,6582.9949414538605
5566.6,5596.039227823883
6541.2,6546.586503675693
6430.9,6378.914654405459
6013.4,6011.691752227372
7085.0,7074.5297929553335
4750.4,4748.256385887031
5881.2,5872.470013421852
6824.4,6805.205333968435
6243.3,6272.540020260625
5794.6,5819.471382234866
6904.3,6871.433804810816
5047.4,5065.386312424716
4980.4,5019.596239952934
6198.8,6218.092500308713
6604.1,6616.358518649345
5532.7,5526.2811590339725
5697.7,5676.456444280673
5597.1,5616.71309357909
6749.1,6746.8916377156975
5438.8,5444.3755096443265
5611.7,5639.7794489675325
4521.3,4408.288792120111
6559.4,6530.841810236802
5077.3,5073.606306073943
6435.8,6393.657821498133
6708.3,6714.284358615573
6226.0,6215.285608393697
5214.5,5206.272726823215
6041.1,6088.5419242250155
6267.4,6251.590270149365
5535.5,5539.795054307825
6386.7,6348.3069591632
6704.1,6710.620791218159
5999.4,6007.124148183331
6269.9,6311.995925654408
4661.9,4541.117216701775
6324.6,6400.526073692729
6856.8,6867.408722411949
6265.3,6261.3027877852
6652.3,6664.347810429556
5216.8,5219.638137239432
6408.3,6392.79403617483
6686.7,6711.8335553219085
5902.5,5923.828566978227
6394.1,6381.561572261308
6434.1,6437.931174630157
6868.1,6850.230574037943
6541.1,6515.165934469656
5769.2,5775.977104782195
6741.7,6735.006057092846
6666.1,6703.875902542196
5943.2,5968.387996146956
7082.1,7149.952251710041
5622.3,5621.482985068064
5254.5,5251.501142569244
